Date,Description,Amount
10/10/2022,7-ELEVEN 41387 SEHZ4OKLAHOMA CITY       OK,5.42
10/10/2022,AplPay RBT WIRELESS OKLAHOMA CITY       OK,21.72
10/10/2022,DOLLAR TREE 00000243MIDWEST CITY        OK,5.46
10/10/2022,JACK IN THE BOX 6143OKLAHOMA CITY       OK,9.77
10/10/2022,WAL-MART SUPERCENTEROKLAHOMA CITY       OK,41.4
10/9/2022,ALLSUP 102166 000000CANYON              TX,60.9
10/9/2022,WAL-MART SUPERCENTERCANYON              TX,158.32
10/8/2022,WAL-MART SUPERCENTERCANYON              TX,124.95
10/7/2022,S'MART              DEL CITY            OK,71.16
10/7/2022,UBER EATS           help.uber.com       CA,27.85
10/6/2022,UBER EATS           help.uber.com       CA,26.97
10/5/2022,WALMART NGHBRHD MKT OKLAHOMA CITY       OK,5.57
10/4/2022,AplPay 7-ELEVEN 3224LAS VEGAS           NV,2.99
10/4/2022,UBER EATS           help.uber.com       CA,53.67
10/3/2022,AplPay 7-ELEVEN 3224LAS VEGAS           NV,6.48
10/3/2022,AplPay LIM*SUBSCRIPTSAN FRANCISCO       CA,6.51
10/3/2022,LVAC TAP ACCT LVAC TLAS VEGAS           NV,25
10/2/2022,AplPay STARBUCKS STOLAS VEGAS           NV,5.36
10/2/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,46.8
10/1/2022,AplPay ALBERTSONS #3LAS VEGAS           NV,6.09
10/1/2022,AplPay BUDGET SMOKE LAS VEGAS           NV,34.64
10/1/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,48.85
9/30/2022,WALMART NGHBRHD MKT OKLAHOMA CITY       OK,10.83
9/29/2022,TARGET OKLAHOMA CITYOKLAHOMA CITY       OK,20.92
9/29/2022,UBER EATS           SAN FRANSISCO       CA,61.3
9/29/2022,UBER EATS           help.uber.com       CA,36.99
9/27/2022,AplPay DOLLAR TREE 0OKLAHOMA CITY       OK,1.36
9/27/2022,AplPay STARBUCKS STOOKLAHOMA CITY       OK,12.71
9/27/2022,TARGET              MIDWEST CITY        OK,28.21
9/27/2022,UBER EATS           help.uber.com       CA,45.92
9/26/2022,AplPay 7-ELEVEN 3224LAS VEGAS           NV,6
9/26/2022,FRONTIER AIRLINES AIDENVER              CO,190
9/24/2022,AplPay TRADER JOE'S LAS VEGAS           NV,14.86
9/24/2022,AplPay YARD HOUSE 83LAS VEGAS           NV,54.96
9/24/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,26.27
9/24/2022,UBER,18.3
9/23/2022,AVID HOTEL OKCA     OKLAHOMA CITY       OK,8
9/23/2022,AplPay USCONNECT IMPTULSA               OK,2.85
9/23/2022,AplPay WALGREENS    LAS VEGAS           NV,24.48
9/23/2022,MOBILE PAYMENT - THANK YOU,-1009.56
9/23/2022,RED ROCK LUCKY BAR 4LAS VEGAS           NV,36.35
9/23/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,21.23
9/23/2022,UBER,17.24
9/22/2022,AplPay SUNNYLANE PETDEL CITY            OK,6.52
9/22/2022,LVAC TAP ACCT LVAC TLAS VEGAS           NV,32
9/21/2022,TST* MOB GRILL PARLOOKLAHOMA CITY       OK,15.75
9/20/2022,AplPay 7-ELEVEN 3224LAS VEGAS           NV,7.68
9/20/2022,AplPay Southwest AirDALLAS              TX,40
9/19/2022,AplPay 7-ELEVEN 3960LAS VEGAS           NV,3.09
9/19/2022,AplPay STARBUCKS STOLAS VEGAS           NV,6.45
9/18/2022,AplPay DOLLARTREE 00LAS VEGAS           NV,4.06
9/18/2022,KEYMELOCKSMITHS.COM JERSEY CITY         NJ,12.98
9/18/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,23.04
9/17/2022,SMITHS FOOD & DRUG  LAS VEGAS           NV,2.33
9/17/2022,STARBUCKS STORE 1326LAS VEGAS           NV,6.45
9/17/2022,UBER,14.99
9/16/2022,FRONTIER AIRLINES AIDENVER              CO,283.98
9/16/2022,OKC 1221 The Grill@OOKLAHOMA CITY       OK,20.03
9/16/2022,OKC 1221 The Grill@OOKLAHOMA CITY       OK,57.52
9/16/2022,RED ROCK LUCKY BAR 4LAS VEGAS           NV,38.85
9/16/2022,UBER,14.67
9/16/2022,UBER,33.96
9/15/2022,AplPay TST* PHILLMEUOKLAHOMA CITY       OK,21.31
9/15/2022,MOBILE PAYMENT - THANK YOU,-1000
9/14/2022,UBER EATS           SAN FRANCISCO       CA,49.58
9/13/2022,UBER EATS           SAN FRANCISCO       CA,34.47
9/12/2022,AplPay BEST BUY     OKLAHOMA CITY       OK,55.38
9/11/2022,HARMON #8071 0000   LAS VEGAS           NV,65.51
